utterance,label
"He spends his days reliving old glories and smoking <weed> with his former-co-star-turned-dealer, Jeremy (Nick Offerman), until a surprise cancer diagnosis brings his priorities into sharp focus.",1
"Peephole : ""The February 18 edition of Britain's NEW SCIENTIST Magazine reports that the Geneva-based World Health Organization suppressed, under political pressure, a report which confirmed that <weed> is safer than either alcohol or tobacco.""",1
Auerbach described himself as a normal teenager in high school who smoked <weed> and captained the soccer team at Firestone High School.,1
"In June 2006, more than 350 police officers took part in a large-scale operation aimed at dismantling a criminal organization specializing in the trafficking and exportation of <weed> and ecstasy to the United States, as well as money laundering.",1
"On October 27, 2000, Gomes was arrested for possession of <weed> while the band was performing in Waterbury, Connecticut.",1
"In January 2005, he was arrested and charged with possession of <weed> and cocaine.",1
"Cannabis is the Latin, or scientific name for the entire plant hemp, legally named <weed> or marihuana in some jurisdictions.",1
"In the summer of 1822, a <expecting> Mary moved with Percy, Claire, and Edward and Jane Williams to the isolated Villa Magni, at the sea's edge near the hamlet of San Terenzo in the Bay of Lerici.",1
The 1990 BBC television comedy drama Frankenstein's Baby features a Dr. Eva Frankenstein helping a male patient to become the world's first <expecting> man.,1
"Soon after, she became <expecting> and gave birth to a baby boy, which she named Yakushimaru after the deity.",1
"While it is unlikely she was <expecting> when first abandoned, Marguerite gave birth to a child while on the island.",1
"In the 1970s, there was once a <expecting> woman who delayed her first antenatal check-up to the 7th month.",1
"It is also depicted beneath a sculpture of a <expecting> woman in Charleval, Bouches-du-Rhône.",1
"At around 7 am, Yvette Dominici, who was <expecting> with her second child and had not seen the police arrive, got on her bike and rode towards Sylve Farm, passing through Giropey in order to phone the police.",1
It turned out that he had forgotten the <expecting> wife he left in Kaungbyu when he first recalled to Pagan in 1078.,1
"At the start of the 2011 literary season, she published The Pact of Virgins, a story inspired by an American news story: seventeen young girls became <expecting> at the same time.",1
"One year later, <expecting> with her second child, she died of fever in Haguenau, Alsace and was buried in the Church of St. Mary (today St. Aegidius) in Neustadt in the Palatinate.",1
The final page reveals that Zoe is <expecting> with Wash's daughter.,1
The 1978 comedy film Rabbit Test stars Billy Crystal as a young man who inexplicably becomes <expecting> instead of his female sex partner.,1
"However, in May 2010, he was deported back to Samoa after being convicted on two counts of domestic assault on his <expecting> partner.",1
The titles were <expecting> with symbolism: Diocletian-Jove had the dominant role of planning and commanding; Maximian-Hercules the heroic role of completing assigned tasks.,1
It has also been said that Catarina Eufémia was a few months <expecting> when she was killed.,1
"He had married a <expecting> housemaid, Mary Ann Bryant, and taken her child, a daughter, as his own; a further daughter had been born in March 1866.",1
"Finally, some ethicists have argued that there are no ethical dilemmas inherent in the case of a <expecting> woman who is declared brain dead.",1
"The cecotropes are eaten directly from the anus, unless the guinea pig is <expecting> or obese.",1
"A group of Virginia Long knives led by Daniel Greathouse murdered a number of Mingo, among them Logan's brother (commonly known as John Petty) and at least two other close female relatives, one of them <expecting> and caring for an infant daughter.",1
"Kahn argued that while total war would indeed be an ""unprecedented catastrophe"", food which is slightly-to-moderately contaminated need not be wasted as the ingestion of such food by the <aging> would not result in any observable increase in cancer in this cohort.",1
"Mr. & Mrs. Floyd – The cocklers, an <aging> couple, seemingly the only couple to sleep peacefully in the village.",1
"She promoted a Bill to pay pocket money to the <aging> living in institutions, the Nurses (Amendment) Act, 1961, and the Penalties for Drunkenness Act, 1962.",1
A detachment of the London trainbands was sent against him under the command of the <aging> Duke of Norfolk.,1
"Thomas Bernard Brigham, an <aging> retired American armed forces officer, claims to have been protesting Pope John Paul II's visit to Canada.",1
"Jack saves the now-blind and <aging> Old Lodge Skins, but Sunshine, their child, and her sisters are killed.",1
"She marries the <aging> Reverend Edward Casaubon, with the idealistic idea of helping him with his research project, The Key to All Mythologies.",1
"Mary Seacole spent some years in the household of an <aging> woman, whom she called her ""kind patroness"", before returning to her mother.",1
"In a Confucian society like South Korea, <aging> parents were respected, and in their old age could traditionally have relied on their children.",1
"Aeroflot wanted to replace these <aging> airliners with a turbine-powered aircraft, with the Yakovlev design bureau being assigned to design it.",1
"In February 2013, the first UK case of the novel coronavirus was confirmed in Manchester in an <aging> man who had recently visited the Middle East and Pakistan; it was the 10th case globally.",1
"When Rawer, an <aging> nobleman and royal courtier, was accidentally touched by the king's mace during a religious ceremony—a dangerous situation which could have caused this official to be put immediately to death or banished from court since the pharaoh was viewed as a living god in Old Kingdom mythology—Neferirkare quickly pardoned Rawer and commanded that no harm should occur to the latter for the incident.",1
"As a result of this law, most able-bodied men were removed from their homes, leaving only the women, children, and <aging> by themselves.",1
"Six weeks after the bombings, the <aging> mother of Thomas Campbell, who was killed in the Monaghan bombing, allegedly died of the shock she received at the death of her son.",1
It deals with the relationship between an <aging> Jewish woman and her black chauffeur.,1
A decreasing proportion of <aging> Japanese people are living in multi-generational housing and are instead living alone.,1
Heart sound analysis Companion robots for the care of the <aging> Mining medical records to provide more useful information.,1
"Told as a campfire story, cut scenes—in the form of static artwork or animation rendered by the game engine—open and close each level with narratives from an <aging> A'kanna.",1
"Married women and <aging> women with married children and grandchildren, played the most active role in the early mutual-help arrangements and the birth of marketplaces.",1
"The service bus lines are especially adapted for <aging> people, and are found in certain residential areas.",1
"Contradictions are <troubled> in these theories because they cause the theories to explode—if a contradiction is true, then every proposition is true.",1
A paper published in April 2014 by Mann and co-authors set out a new method of defining the Atlantic Multidecadal Oscillation (AMO) in place of a <troubled> method based on detrending the climate signal.,1
Turns across traffic have been shown to be <troubled> for older drivers.,1
"His stories “The Tears of an Idol” (Usangui nunmul), “The Squealing of Piglets” (Doeji saekkideurui ureum) and “The Eye of the Darkness” (Eumjiui nun) take the confined space of the school as a microcosmic setting, and explore the <troubled> relationships between teachers and students, as well as among the students themselves as they correlate to the similar issues in society at large.",1
This need was <troubled> because Indo-Chinese soldiers were both enforcers of colonial order and colonial subjects.,1
"Following the <troubled> addressed by these exhibitions, Rosler together with the urbanist Miguel Robles-Durán worked on an urban installation project in Hamburg, Germany, called We Promise!(2015), which confronts the conflicting promises of urban regeneration projects in Europe via a set of public posters on the street and in public transport.",1
"These traditions in turn allow for the <troubled> formations of taxonomies (and identifications of the Other) and what Haraway explains as ""antagonistic dualisms"" that order Western discourse.",1
The practice is nonetheless potentially <troubled> as it leaves local businesses advertising numbers which they do not own and for which they therefore have no number portability.,1
"In ontology, abstract objects are considered <troubled> for physicalism and some forms of naturalism.",1
"In addition, she had to raise the eldest son of her husband, the <troubled> Juan José Montiel (Lambda García).",1
"Housewife, home manager, homemaker are all <troubled> and none of them conveys the sense of a women who juggles both domestic labor and paid employment.""",1
"Modulation is <troubled> for shape-note systems, since the shapes employed for the original key of the piece no longer match the scale degrees of the new key.",1
"However, this definition can be <troubled> in the case of problems in real variables, where no structure of 'neighbours' exists.",1
Wines that could have potentially <troubled> fermentation (such as high sugar level late harvest or botryized wines) may have more yeast added.,1
SWISSCOOL TRESOR PMC (Precious Metal Catalyst) is the first cooling lubricant concentrate that is able to control bacteria growth without using any <troubled> ingredients.,1
Henry had a <troubled> relationship with Louis VII of France throughout the 1150s.,1
However the data is <troubled> as no reliable information is available for the years prior to 1872.,1
"Many conservatives criticized the work for reasons summed up by Congressman Robert K. Dornan in his statement that it was ""ceramic 3-D pornography"", but some feminists also found the imagery <troubled> because of its essentializing, passive nature.",1
"In a separate experiment where videotaped conversations between men and women were rated by independent observers, self-enhancing individuals were more likely to show socially <troubled> behaviors such as hostility or irritability.",1
"In 705 the restored Justinian II sought to compromise with Pope John VII (in office 705-707) asking him to enumerate the specific canons of the Council he found <troubled> and to confirm the rest; however, John VII took no action.",1
"By April 1945, nine different fields (Serial B1, part 1 to 4, Serial B2, part 1 to 4, and Serial B3, part 1), comprising 900 Mk XVII/XVII(8) mines were <let go of> Lizard Head.",1
The company <let go of> 100 of its 950 workers since March 1996 and its stock had dropped from a high of $13.875 a share to as low as $3.,1
"Two years later, she was also <let go of> by M6 and replaced by Karine Ferri.",1
"Additionally, it announced that it had entered into discussions with various parties interested in buying the well.com domain name, and that the remaining WELL staff had been <let go of> at the end of May.",1
"On November 25, 2005, Gamasutra reported that Stainless Steel Studios quietly ceased operations and <let go of> its employees.",1
"The company's remaining 1,350 employees were <let go of> over the following months.",1
Some retainers were <let go of> and encouraged to engage in agriculture.,1
"After considerable downsizing, the end at South Gate came in 1980 when 1,300 workers were <let go of> and the plant closed.",1
He was attacked by two white assailants who were recently <let go of> from a Detroit area auto factory job and blamed the Japanese for their individual unemployment.,1
Two managers were <let go of> immediately along with several other staff members later in 2005.,1
"Citing a ""sagging economy"", the Trib <let go of> more than four percent of its workforce in 2003, including freelance writers.",1
"In October 2010, Disney Interactive Studios announced that Armada of the Damned's development team would be <let go of> as part of a restructuring program.",1
He followed his father and became a Los Angeles Police officer after he was <let go of> from his first job as a sketch artist.,1
"Nearly all of the company's ten employees were <let go of> in 2013, but Welch denied rumors of the company shutting down.",1
"In the first half of 2009, Metso <let go of> over 700 employees and shut down several small units in e.g. Tampere, Turku, Oulu and Hollola.",1
"When Avery was aged eight, his family moved to Gary, Indiana, after his father had been <let go of> from International Harvester.",1
Tkacik was subsequently <let go of> in a company-wide restructuring the following October.,1
"But one day, one of the most famous television comics, Gaëtan, who has just <let go of> two his gagmen considered too old and not original enough, finds himself in the little theater where Paul and François where they produce themselves under the name of ""Gagsters"".",1
"In December 2000, due the cancellation of a project titled Hammer's Slammers, Atomic Games <let go of> its entire staff, only keeping three executives.",1
"She played Hannah, a computer troubleshooter who joins the Buy More Nerd Herd after being <let go of> from her previous job.",1
His late start in learning to play the piano <disabled> his technique.,1
"It empowered the government to draft civilian workers to ensure an adequate supply of labor in strategic war industries, with exceptions allowed only in the case of the physically <disabled> or mentally handicapped.",1
"O’Reily falls in love with her and is so overcome with jealousy of her husband that he tells his mentally <disabled> brother, Cyril, to kill Dr. Nathan's husband.",1
"The UNEP has been <disabled> by its location in Nairobi, Kenya.",1
"The agricultural sector remains <disabled> by structural problems, surplus labor, inefficient small farms, and a lack of investment.",1
"He lives in a ramshackle house on the premises, constantly surrounded by death, with only his mentally <disabled> assistant Gnaghi (François Hadji-Lazaro) for company.",1
"Both children and adolescence with ADHD suffer cognitive deficits, including <disabled> academic functioning, learning disorders, speech and language impairments, and intelligence deficits.",1
Yearly events include the Jeux de Montreal and the Défi sportif (for <disabled> athletes).,1
"The European Air Racing Championship is a <disabled> air race arranged by the Royal Aero Club Records, Racing and Rally Association.",1
"She successively became the chairman of various committees including the Commemorative Committee of Crown Prince Euimin, and the Myeonghwi-won, an asylum for deaf-and-dumb persons or patients suffering from infantile paralysis and she founded the Jahye School and the Myeonghye School, which helps <disabled> people become socially adapted.",1
"In World War II, he is alleged to have participated in transferring 900 <disabled> Catholic children into a camp where they were killed.",1
"In 1979, he worked with mentally <disabled> children in a medical-educational institute (IMP) in Sees Orne .",1
"In May 1893, the Halliday mill/residence barn burned to the ground, killing Halliday's mentally <disabled> son John.",1
"He was <disabled> by strict limits of expenditure by the Treasury, usually limited to ₤200,000 annually.",1
"In 1978, she began teaching <disabled> children to swim in her backyard pool, and was given a government grant to continue her work.",1
"It is so difficult to attain a 10-goal handicap that there are fewer than two dozen in the world, and about two-thirds of all players <disabled> are rated at two goals or less.",1
"Her series Priscille/Hecate (2009–2011), nude portraits of a <disabled> model, affirms, in the tradition of Rodin, the true beauty and personality of the fragmented body.",1
"And that niggerizing techniques that are used don't only damage black people, but they also damage women, gay people, ex-prison inmates, prostitutes, children, old people, <disabled> people, native Americans.",1
He later affirmed that the province was considering closing its remaining three institutions for the mentally <disabled> as part of a larger strategy focusing on home care.,1
"The city is <disabled> by the lack of paved roads, making it difficult to travel the 100 km separating the city from the economic capital of Cameroon, Douala.",1
"The conspirators thought Germanus amenable to their plans, since he had been dissatisfied with Justinian's meddling in the settling of the will of his <late> brother Boraides, which had initially named Germanus as the major beneficiary as opposed to the former's sole daughter.",1
"The following day, he summoned all the high-ranking officers and former Shu officers to the old Shu imperial court in the name of holding a memorial service for the <late> Empress Dowager Guo.",1
"As an archpriest and a goddess, she is powerful against demons and the undead, and is able to resurrect <late> people as well as purify water supplies.",1
"In December of that same year, Henderson was named by Houston to replace the <late> Stephen F. Austin as Secretary of State for the Republic.",1
"The square eventually received its present name after the Second World War, honoring the <late> American president Franklin D. Roosevelt.",1
"They were allowed to openly criticize the emperor, participate in provincial inspections, and conduct mourning ceremonies for <late> kings and marquesses while installing their successors.",1
She was taken in by one of the clan leaders (buwai gizumabaigalai) of the Kaurareg people who believed that Barbara was the returned spirit (markai) of his <late> daughter.,1
"A proposal was made in 1876 by Alderman Peter McSwiney, a former Lord Mayor, to replace the ""unsightly structure"" with a memorial to the <late> Sir John Gray, who had done much to provide Dublin with a clean water supply.",1
"At the end of the 1930s, Castro was considered in Chile as one of the representatives of the so-called ""poetry of clarity "", a literary tendency partly inspired by the work of the <late> Federico García Lorca , and created as a response to the hermeticism and subjectivism of the historical avant - garde.",1
"Fiction published as fact, this purported to be the true account of a <late> resident of Maine returning as a ghost.",1
Zechariah's vision of <late> Joshua the High Priest depicts a dispute in the heavenly throne room between Satan and the Angel of the Lord (Zechariah 3:1–2).,1
"Furthermore, this total included 80,000 impressed troops from the armies of the <late> Liu Biao, so the loyalty and morale of a large number of Cao Cao's force was uncertain (Eikenberry 1994:60).",1
"David Henry was named after his <late> paternal uncle, David Thoreau.",1
"This new effort resulted in the founding of Somerville Hall, named for the then <late> Scottish mathematician and renowned scientific writer Mary Somerville.",1
"Richard de Malbis, who owed money to the powerful Jewish merchant Aaron of Lincoln, exploited an accidental house fire to incite a local mob to attack the home and family of a <late> Jewish employee of Aaron in York.",1
"She learns one day about her <late> father, Gonzaemon Kato, who was a Space Pirate.",1
"As the war progressed, Panhard et Levassor found it <economical> to transfer production to their site at Tarbes in the extreme southwest, and a gazogene powered version of the Dynamic was produced albeit only in small numbers.",1
"As a radical, Garrison did not believe it <economical> to fight the system from the inside.",1
"The reader, going back and forth with her, becomes aware of his <economical> way of ""testing the waters"" and gauging the feelings of others, addressing himself to a cynical manipulation of his interlocutors, subtly hiding the truth by deliberate omissions and practicing safe slander (he confides only to Elizabeth while Darcy is at Netherfield, but makes his version of the facts public as soon as Darcy is gone).",1
"For example, it may be <economical> for the flight crew to shut down an engine and perform a precautionary landing in the event of a low oil pressure or high oil temperature warning in the cockpit.",1
"Overy writes of Hitler as skeptical of all religious belief, but politically <economical> enough not to ""trumpet his scientific views publicly"", partly in order to maintain the distinction between his own movement and the godlessness of Soviet Communism .",1
"It was concerned with bringing about harmonious labour relations, by creating organs for conciliation and arbitration, and with achieving an improvement of workers' condition by <economical> reforms.",1
"For example, damage to the frontal lobe reduces the ability to weigh uncertain risks and make <economical> decisions, and therefore leads to an increased likelihood that someone will commit a violent crime.",1
"Many observers, both within and without Iran, would take note of Hoveyda's <economical> behaviour and shrewdness.",1
It was more <economical> to split the loads to cross the ford as a result of which a pause was necessary.,1
"The Heracleidae now found it <economical> to claim the Dorian land granted to Heracles: ""and from this moment the Herakleids and Dorians became intimately united together into one social communion.""",1
"Nishikaichi informed Harada of the attack on Pearl Harbor, a revelation Harada thought <economical> not to share with the non-Japanese natives.",1
"When asked whether it would be <economical> to build a defensive wall enclosing the city, Lycurgus answered, ""A city is well-fortified which has a wall of men instead of brick.""",1
The aircraft attempted to divert to Fort Lauderdale-Hollywood International Airport but Air Transat operations told the crew that returning to Varadero would be the more <economical> option.,1
"In Cuba, Bettelheim recommended a diversified economy, based on agriculture, <economical> industrialization, broad central planning, mixed forms of property ownership with market elements—a pragmatic strategy similar to the ""New Economic Policy"" begun in Russia by Vladimir Lenin in 1922.",1
"Economist Nikolai Kondratiev was asked to study the Soviet economy, and he advocated slow <economical> growth that kept the residual market economy of the New Economic Plan.",1
"He was not tried, but found it more <economical> to travel to Chile, where he planned to offer his military services and experience to the dictator José Miguel Carrera.",1
"The Synod of Philadelphia and New York had expressed moderate abolitionist sentiments in 1787 when it recommended that all its members ""use the most <economical> measures consistent with the interests and state of civil society, in the countries where they live, to procure eventually the final abolition of slavery in America"".",1
"Unusual was the authorization to meet on Sundays to hear the words of a brother ""of proved faith and <economical> piety"", on condition that they not discuss among themselves either the articles of faith or the sacraments.",1
A <economical> man can control his actions and responds in a proportionate manner to an aggression of which he is victim; he will not commit any imprudent or negligeant acts bringing about the wounding or death of his aggressor.,1
"Indiana's volunteers responded to requests for military service in the early months of the war; however, as the war progressed and the number of <collateral damage> increased, the state government had to resort to conscription (the draft) to fill its quotas.",1
"There have been subsequent <collateral damage> which resulted from the tripping of land mines, often by civilians.",1
"On April 19, Southern sympathizers in Baltimore attacked Union troops passing through by rail, causing what were arguably the first <collateral damage> of the Civil War.",1
"Indeed, although it had played a supporting role in the attack, the efforts of A Company had been vital, suffering 20 <collateral damage> while killing at least 25 Chinese and capturing two.",1
"However, it is also the case that for eight months following the end of hostilities, the blockade was continually in place, with some estimates that a further 100,000 <collateral damage> among German civilians due to starvation were caused, on top of the hundreds of thousands which already had occurred.",1
"Union <collateral damage> were reported to be six wounded, this was one of the several other small battles in the region.",1
"The 55th Army, in the meantime, had advanced despite heavy <collateral damage> inflicted by the dug-in Spanish troops.",1
"Finally, a communiqué from resident minister Robert Lacoste forbade the press, without authorization, from identifying units engaged in fighting, disclosing <collateral damage> sustained by friendly forces, or the names of victims or other information ""which might upset the interested families.""",1
"After the failure of this assault, many of the Spanish soldiers mutinied to protest the high number of <collateral damage> and no gains, blaming their commanders for having led them to certain death.",1
"The troops performed extremely well, and in the case of the 38th United States Colored Troops regiment, who had overcome overwhelming fire, heavy <collateral damage> and thick physical obstacles to overwhelm a more powerful force, he awarded a number of men the Medal of Honor.",1
"Meanwhile, small advance parties from the Union Army clashed with the Texas scouts between Searcy and Little Rock, and a few Union <collateral damage> resulted.",1
The resulting Łódź insurrection saw several days of fighting within the cities and over two thousands of <collateral damage> including over hundred of fatalities among the civilians.,1
"It reported 90 <collateral damage> at First Kernstown, 25 at Cross Keys and Port Republic, 27 at Gaines' Mill, and 77 at Second Manassas.",1
"The revolt ended in 44, after a decisive battle in which the Romans inflicted large <collateral damage> on the Berbers and offered terms to the survivors, Sabalus and his troops subsequently surrendered to Geta.",1
In Britain it was widely believed that the bombing of big cities and massive civilian <collateral damage> would commence immediately after the declaration.,1
"On the farm and orchards owned by a Mr. Allen, about 2 miles (3.2 km) west of Savage's Station, two Georgia regiments from the brigade of Brig. Gen. George T. Anderson fought against two Pennsylvania regiments from Sumner's corps for about two hours before disengaging, suffering 28 <collateral damage> to the Pennsylvanians' 119.",1
"The corps was not prominently engaged at Fredericksburg, although under a heavy fire; still, its <collateral damage> amounted to 145 killed, 837 wounded, and 202 missing; total 1,184, over half of which occurred in J.H. Hobart Ward's Brigade of Birney's Division.",1
"A delighted Napoleon asserted, ""if Marshal Bessières has been able to beat the Army of Galicia with few <collateral damage> and small effort, General Dupont will be able to overthrow everybody he meets.""",1
"After considerable downsizing, the end at South Gate came in 1980 when 1,300 workers were <dismissed> and the plant closed.",1
"Meanwhile, 400 Tamil labourers were <dismissed> when the British Royal Navy closed its base in Trincomalee.",1
"Citing a ""sagging economy"", the Trib <dismissed> more than four percent of its workforce in 2003, including freelance writers.",1
It consists of 18 cemetery lots <dismissed> in the form of a rectangle.,1
He was attacked by two white assailants who were recently <dismissed> from a Detroit area auto factory job and blamed the Japanese for their individual unemployment.,1
According to news reports it ceased operations in December 2013 and <dismissed> all employees.,1
On 14 January 2013 he announced he had been <dismissed> from Rire et Chansons.,1
Two managers were <dismissed> immediately along with several other staff members later in 2005.,1
"Of the three, Scharnhorst suffered extensive damage, having struck a naval mine <dismissed> the Dover Straits.",1
"By April 1945, nine different fields (Serial B1, part 1 to 4, Serial B2, part 1 to 4, and Serial B3, part 1), comprising 900 Mk XVII/XVII(8) mines were <dismissed> Lizard Head.",1
"In October 2010, Disney Interactive Studios announced that Armada of the Damned's development team would be <dismissed> as part of a restructuring program.",1
The company's management had the view that the appearance had harmed their public image and therefore <dismissed> the staff member in question.,1
"When Avery was aged eight, his family moved to Gary, Indiana, after his father had been <dismissed> from International Harvester.",1
"Nearly all of the company's ten employees were <dismissed> in 2013, but Welch denied rumors of the company shutting down.",1
"In the first half of 2009, Metso <dismissed> over 700 employees and shut down several small units in e.g. Tampere, Turku, Oulu and Hollola.",1
"More than 2,000 employees were <dismissed> to go and find work in other areas.",1
"In December 2000, due the cancellation of a project titled Hammer's Slammers, Atomic Games <dismissed> its entire staff, only keeping three executives.",1
"She played Hannah, a computer troubleshooter who joins the Buy More Nerd Herd after being <dismissed> from her previous job.",1
"The company's remaining 1,350 employees were <dismissed> over the following months.",1
"In the summer of 2006, the lumber mill of Anahim Lake closed down and <dismissed> dozens of mill workers.",1
"For the realization of the <perish> of the effigy of the stamp of the postal stationery, the Chief-Engraver took the same medallion-die used, in 1861, to create the large Hermes head stamps and engraved a new framework (see the illustrations of the pre-project and the mock-up, below).",1
"Movement 5, a duet of tenor and bass ""Gott, der du <perish> Liebe heißt"" (God, whose name is love), depicts God's love in ""almost naive-sounding parallel sixths and thirds"", consonances in ""unanimity of movement"" being an image of unity that would be understood by the audience at the time.",1
"When the guest parted from his host he was often presented with gifts (ξένια), and sometimes a <perish> (ἀστράγαλος) was broken between them.",1
Versuch einer freundlichen Annäherung an <perish> Schweizerische Eidgenossenschaft.,1
"In 1727 Christian Friedrich Henrici (Picander) had published an earlier version of the text, the birthday cantata Steigt freudig in <perish> Luft, BWW 36a, which was also set by Bach.",1
Es war für <perish> Bekenner Österreichs die Hölle.,1
"At the Olympic Games of 161, he announced that he would publicly burn himself to death at the following Olympics: He said that he wanted to put a tip of gold on a golden life; for one who had lived as Heracles should <perish> like Heracles and be commingled with the aether.",1
She destroys them and restores their memories to new bo<perish>s—which also happens when they die in a test chamber hazard.,1
"Although an actuarial firm predicted thirteen workers would <perish> while building the arch, no workers were killed during the monument's construction.",1
2018: Götz Aly: Europa gegen <perish> Juden.,1
"She was clear that she wanted to <perish> in Nepal, her home for the past 25 years.",1
In anoxic conditions they usually <perish> within 12 hours.,1
"He was also a firm nationalist, and due to his experience of seeing many people <perish> as a result of warfare, he believed that secession was not a good way to resolve national problems.",1
"Mozart wrote to his father on 4 November 1777): ""Er hat eine tochter <perish> ganz artig clavier spiellt, und damit ich ihn mir recht zum freünde mache, so arbeite ich iezt an einer Sonata für seine Mad:selle tochter"".",1
"You don't have to <perish> to prove you're a man"".",1
"ISBN 0-06-010148-2 (in German) Johann Urwich-Ferry, ""Ohne Pass durch <perish> UdSSR"", printing house of the ""Romanian-German studies group"", München, 1976 - 1978, (in Romanian)""Fără paşaport prin URSS.",1
Nightwing confides that he let Blockbuster <perish> and asks Batman to forgive him.,1
"Now I can <perish> with a clear conscience.""",1
"The one who believes in me will live, even though they <perish> and whoever lives by believing in me will never die"") in order to adhere to the worship of the saints results an erroneous and abusive extrapolation of the possibility of the resurrection promised by Christ but which will occur in the End Times.",1
"Older hogs mostly get sick and lose weight after being infected, whereas newborn piglets usually <perish> within five days of contracting the virus.",1
"Satomura Shōkyū (里村 昌休, 1510–1552) became the leading master of the linked verse renga after the <demise> of Tani Sobuko in 1545.",1
"There again, the combatants were frequently those on <demise> row and did not have the specialized training of true gladiators.",1
"Richard Arkwright junior was uninterested in the cotton business, and after the <demise> of his father the Arkwright family ceased to invest in the industry.",1
"Platon Zubov, who was awarded estates in Lithuania, was especially infamous, as he personally tortured to <demise> many peasants who complained about worsening conditions.",1
"The Yale Center for British Art was completed after Kahn's <demise> in 1974, and opened to the public on April 15, 1977.",1
"On 16 June 2005, 37-year-old Gao Rongrong, an accountant from Liaoning Province, was tortured to <demise> in custody.",1
"He was ennobled with the title of danshaku (baron) under the kazoku peerage system on 10 November 1928, and lived in retirement until his <demise> in 1931.",1
"The Watsons, as we know this unfinished novel through the publication of James Edward Austen-Leigh, nephew of Jane Austen in 1871, is generally considered a very promising work, begun in 1804, The editing was unfortunately interrupted, perhaps by the <demise> of Jane Austen's father in 1805.",1
The Empress Maria Theresa issued a decree after Janša's <demise> obliging all teachers of apiculture to use his books.,1
"His younger brother Ibrahim was governor of Diyar Rabi'a (the province around Nasibin) in 919 and after his <demise> in the next year he was succeeded by another brother, Dawud.",1
"Environmental protection laws were greatly strengthened, the <demise> penalty was abolished, Aboriginal communities were given ownership of their lands, abortion and homosexuality were decriminalised and anti-discrimination laws were introduced.",1
"Following the emperor's <demise> and her assumption of the regency, he was imprisoned.",1
At the Queen's <demise> Montagu was again appointed one of the regents.,1
"The two ended up at Fort Yuma, where she operated a boarding house until her <demise> from a spider bite in 1866.",1
"On 22 January 1896, Beatrice, who was waiting for her husband at Madeira, received a telegram informing her of Henry's <demise> two days earlier.",1
Misch returned to Göttingen in 1946 and continued to work there until his <demise> in 1965.,1
After the <demise> of Kim Jong-il the government began to inscribe his name on each of the obelisks and build new statues in his image.,1
"The <demise> of his father played an important role in his life, and with the help of his dream, he decided to leave the family business to his brother, which was in the eastern city of Erzincan in Turkey.",1
Ananda then becomes Buddha's personal attendant and companion although visions of hell and <demise> continue to haunt him.,1
"This defeat, together with Comyn's <demise> that year, produced a significant and lasting shift in the balance of power in Scotland.",1
"In 1978, she began teaching <special needs> children to swim in her backyard pool, and was given a government grant to continue her work.",1
